"","p__Proteobacteria","p__Firmicutes_A","p__Bacteroidota","p__Firmicutes_D","p__Fusobacteriota","p__Actinobacteriota","p__Verrucomicrobiota","p__Cyanobacteria","node","MRCA"
"node_1072",0.0709498325285428,0.779304703480229,0.0423525492831633,0.0988447136359081,0.00356153132377223,0.00384264250202865,0.000585765587108938,0.000558261659246491,1072,"Aonyx_cinereus-Galictis_vittata-Lutra_lutra-Pteronura_brasiliensis"
"node_1073",0.071448809162874,0.778723167177148,0.0426072403298069,0.0986058448230784,0.00361108723225477,0.00385865916217855,0.000580953049667928,0.000564239062991259,1073,"Aonyx_cinereus-Lutra_lutra-Pteronura_brasiliensis"
"node_1074",0.0788080786168448,0.772988053269277,0.0436548415660912,0.0957194090148939,0.00387339001855146,0.0037917099641531,0.000565642532602463,0.00059887501758646,1074,"Aonyx_cinereus-Lutra_lutra"
"node_1075",0.0654026509016431,0.772597394667772,0.0508361955756376,0.103102366504971,0.00288614821897123,0.00373209931523884,0.000772888672417872,0.000670256143348926,1075,"Mustela_nigripes-Mustela_putorius"
"node_1076",0.0737741383032931,0.714988261763305,0.0559622803994751,0.143108056012447,0.00479500323525808,0.00626205118158463,0.000698275911429253,0.000411933193207786,1076,"Potos_flavus-Procyon_lotor"
"node_1077",0.0903138506540367,0.680428484885248,0.066919164538241,0.13985124818538,0.0103776946269983,0.0110420604692497,0.000634024713300937,0.000433471927544258,1077,"Callorhinus_ursinus-Halichoerus_grypus-Mirounga_angustirostris-Odobenus_rosmarus-Phoca_vitulina"
"node_1078",0.0989918098413699,0.663886956590413,0.0704464704061286,0.142830898325281,0.0109415257776895,0.0117413071618025,0.00067142587581489,0.000489606021500443,1078,"Callorhinus_ursinus-Odobenus_rosmarus"
"node_1079",0.0859442974326561,0.701540814221489,0.0617402549388378,0.125641313741564,0.0127670163482633,0.0114888364049944,0.000518043585633268,0.000359423326561521,1079,"Halichoerus_grypus-Mirounga_angustirostris-Phoca_vitulina"
"node_1080",0.0778705237955633,0.731957185318427,0.0505948791535487,0.113863336406123,0.0136505782617425,0.0113148569925303,0.000453460259338684,0.000295179812726867,1080,"Halichoerus_grypus-Phoca_vitulina"
"node_1081",0.0543489518276868,0.683298445608837,0.0290657063804478,0.223534782348866,0.00349758041236689,0.00525682923666194,0.000675961966889236,0.000321742218244405,1081,"Ailuropoda_melanoleuca-Helarctos_malayanus-Melursus_ursinus-Tremarctos_ornatus-Ursus_americanus-Ursus_arctos-Ursus_maritimus"
